127.0.0.1 - - [21/Nov/2018:23:10:54 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:10:54 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:10:55 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1481
127.0.0.1 - - [21/Nov/2018:23:10:55 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:10:55 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:10:55 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:11:16 -0800] "GET /Databaase/main.html HTTP/1.1" 200 552
127.0.0.1 - - [21/Nov/2018:23:11:16 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1436
127.0.0.1 - - [21/Nov/2018:23:11:50 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:11:50 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:11:50 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:12:04 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:12:04 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1435
127.0.0.1 - - [21/Nov/2018:23:13:10 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:13:10 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1436
127.0.0.1 - - [21/Nov/2018:23:13:25 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:13:25 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1436
127.0.0.1 - - [21/Nov/2018:23:13:26 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:13:26 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:13:26 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:13:26 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1432
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:32 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:42 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:42 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1428
127.0.0.1 - - [21/Nov/2018:23:14:43 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:43 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:44 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:44 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:44 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:14:45 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:14:45 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:15:03 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:15:03 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1436
127.0.0.1 - - [21/Nov/2018:23:15:03 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:15:03 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 200 1293272
127.0.0.1 - - [21/Nov/2018:23:16:02 -0800] "GET /Databaase/main.html HTTP/1.1" 200 551
127.0.0.1 - - [21/Nov/2018:23:16:02 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:16:02 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:16:12 -0800] "GET /Databaase/main.html HTTP/1.1" 200 552
127.0.0.1 - - [21/Nov/2018:23:16:12 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:16:12 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:18:29 -0800] "GET /Databaase/main.html HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:18:30 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1476
127.0.0.1 - - [21/Nov/2018:23:18:30 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:19:30 -0800] "GET /Databaase/main.html HTTP/1.1" 200 552
127.0.0.1 - - [21/Nov/2018:23:19:30 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1456
127.0.0.1 - - [21/Nov/2018:23:19:30 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:19:30 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:19:52 -0800] "GET /Databaase/main.html HTTP/1.1" 200 548
127.0.0.1 - - [21/Nov/2018:23:19:52 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:20:26 -0800] "GET /Databaase/main.html HTTP/1.1" 200 570
127.0.0.1 - - [21/Nov/2018:23:20:26 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:20:52 -0800] "GET /Databaase/main.html HTTP/1.1" 200 570
127.0.0.1 - - [21/Nov/2018:23:20:52 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:21:00 -0800] "GET /Databaase/main.html HTTP/1.1" 200 570
127.0.0.1 - - [21/Nov/2018:23:21:00 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1456
127.0.0.1 - - [21/Nov/2018:23:21:00 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:00 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:21:03 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 200 1642
127.0.0.1 - - [21/Nov/2018:23:21:03 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1456
